Department	Network Type	VLAN ID	VLAN Name	Computers	Printers	Other Devices	Required IPs	30% Growth	Total Hosts Needed	Network Address/Prefix	Subnet Mask	Usable IP Range	Broadcast Address
COM	Student	10	Computer_Students	250	0	0	250	75	325	192.168.1.0/23	255.255.254.0	192.168.1.1 - 192.168.2.254	192.168.2.255
COM	Staff	11	Computer_Staff	50	2	25	77	23	100	192.168.3.0/25	255.255.255.128	192.168.3.1 - 192.168.3.126	192.168.3.127
EE	Student	20	EEE_Students	150	0	0	150	45	195	192.168.4.0/24	255.255.255.0	192.168.4.1 - 192.168.4.254	192.168.4.255
EE	Staff	21	EEE_Staff	50	2	15	67	20	87	192.168.5.0/25	255.255.255.128	192.168.5.1 - 192.168.5.126	192.168.5.127
Civil	Student	30	Civil_Students	75	0	0	75	23	98	192.168.6.0/25	255.255.255.128	192.168.6.1 - 192.168.6.126	192.168.6.127
Civil	Staff	31	Civil_Staff	25	2	5	32	10	42	192.168.7.0/26	255.255.255.192	192.168.7.1 - 192.168.7.62	192.168.7.63
Mech	Student	40	Mech_Students	75	0	0	75	23	98	192.168.8.0/25	255.255.255.128	192.168.8.1 - 192.168.8.126	192.168.8.127
Mech	Staff	41	Mech_Staff	25	2	10	37	11	48	192.168.9.0/26	255.255.255.192	192.168.9.1 - 192.168.9.62	192.168.9.63
IDS	Student	50	IDS_Students	15	0	0	15	5	20	192.168.10.0/27	255.255.255.224	192.168.10.1 - 192.168.10.30	192.168.10.31
IDS	Staff	51	IDS_Staff	25	2	5	32	10	42	192.168.11.0/26	255.255.255.192	192.168.11.1 - 192.168.11.62	192.168.11.63
Admin	Staff	60	Administration	25	5	0	30	9	39	192.168.12.0/26	255.255.255.192	192.168.12.1 - 192.168.12.62	192.168.12.63
CCTV	Staff	70	CCTV	50	0	0	50	15	65	192.168.13.0/26	255.255.255.192	192.168.13.1 - 192.168.13.62	192.168.13.63
